Style,Era,Wikiart
Abstract Art,19th-20th Centuries,https://www.wikiart.org/en/paintings-by-style/abstract-art
Abstract Expressionism,1940s-50s,https://www.wikiart.org/en/paintings-by-style/abstract-expressionism
Academicism,Mid 19th-Early 20th Centuries,https://www.wikiart.org/en/paintings-by-style/academicism
Analytical Cubism,1908-1912,https://www.wikiart.org/en/paintings-by-style/analytical-cubism
Art Nouveau (Modern),1890-1910,https://www.wikiart.org/en/paintings-by-style/art-nouveau-modern
Baroque,Early 17th-Mid 18th Centuries,https://www.wikiart.org/en/paintings-by-style/baroque
Cloissonism,Late 19th Century,https://www.wikiart.org/en/paintings-by-style/cloisonnism
Cubism,1907-1918,https://www.wikiart.org/en/paintings-by-style/cubism
Cubist Period,1907-1924,https://www.wikiart.org/en/paintings-by-style/cubism
Dada,1915-1924,https://www.wikiart.org/en/paintings-by-style/dada
Expressionism,Early 20th Century,https://www.wikiart.org/en/paintings-by-style/expressionism
Impressionism,1860s-1890s,https://www.wikiart.org/en/paintings-by-style/impressionism
Japonism,19th Century,https://www.wikiart.org/en/paintings-by-style/japonism
Metaphysical art,1911-1919,https://www.wikiart.org/en/paintings-by-style/metaphysical-art
Naïve Art (Primitivism),19th-20th Centuries,https://www.wikiart.org/en/paintings-by-style/na-ve-art-primitivism
Neo-baroque,Late 19th Century,https://www.wikiart.org/en/paintings-by-style/neo-baroque
Neoclassicism,18th-Early 19th Centuries,https://www.wikiart.org/en/paintings-by-style/neoclassicism
Op Art,1960s-2010s,https://www.wikiart.org/en/paintings-by-style/op-art
Orientalism,19th Century,https://www.wikiart.org/en/paintings-by-style/orientalism
Pointillism,1886-Early 20th Century,https://www.wikiart.org/en/paintings-by-style/pointillism
Pop Art,1950s-60s,https://www.wikiart.org/en/paintings-by-style/pop-art
Post-Impressionism,1886-1905,https://www.wikiart.org/en/paintings-by-style/post-impressionism
Realism,1848-1870s,https://www.wikiart.org/en/paintings-by-style/realism
Surrealism,1920s-30s,https://www.wikiart.org/en/paintings-by-style/surrealism
Symbolism,Late 19th Century,https://www.wikiart.org/en/paintings-by-style/symbolism
Synthetic Cubism,1912-1914,https://www.wikiart.org/en/paintings-by-style/synthetic-cubism